1990-91 NBA Hoops Michael Jordan Super Streaks & Magic Johnson,$100,BCCG 10,
1993-94 Fleer Living Legends #4 - Michael Jordan ,$70,n/a,
1995-96 UD COLLECTOR'S CHOICE PLAYER'S CLUB PLATINUM MICHAEL JORDAN #210,$100,n/a,
1995 Collectors Choice Michael Jordan Int. GERMAN I Michael #20,$500,PSA 10,
1995 Collector's Choice International French 1 Michael Jordan #195,$400,PSA 10,
 ITALIAN 1995 Collector's Choice #114 Michael Jordan,$500,PSA 10,
1992 Upper Deck Michael Jordan Jerry West Selects #JW1 ,$20,PSA 7,
1995 Upper Deck Predictor Player Of The Week Redemption Michael Jordan,$180,PSA 9,
1995 Upper Deck Predictor Michael Jordan #R4 ,$300,PSA 10,
"MICHAEL JORDAN 1995/1996 UPPER DECK "" PREDICTOR "" #R3",$20,n/a,
"1995 Upper Deck Predictor #R4, Michael Jordan, player of the month",$300,PSA 9,
1995-96 Upper Deck Collector's Choice Platinum #353 Michael Jordan,$350,PSA 9,
1996-97 Upper Deck SP Gold Foil Championship Series Michael Jordan,$100,n/a,
1996-97 Upper Deck Greater Heights Michael Jordan #GH8,$58,n/a,
Michael Jordan 1996 Upper Deck Greater Heights Card # GH6 ,$48,PSA 7,
1995 Upper Deck Predictor Player Of The Week Redemption Michael Jordan,"$2,000",PSA 10,
1992 UPPER DECK #453 MICHAEL JORDAN CORR-CHAMP. 87-88 ,$800,PSA 9,
1994 Collector's Choice #240 Michael Jordan,$189,PSA 9,
1996 Upper Deck Collectors Choice Michael Jordan/ V. Divac #25,$299,PSA 10,
1996-97 Michael Jordan UD Collector's Choice #26,$89,BCCG 10,
1994 Collector's Choice / Dr. Dunk #402 - MICHAEL JORDAN - ,$250,PSA 10,
1994 Collector's Choice / Dr. Dunk #402 - MICHAEL JORDAN - ,$250,PSA 10,
1996 Upper Deck US Olympic Moments #11 - MICHAEL JORDAN,$349,PSA 9,
1996 Upper Deck USA American Made Leadership Die-Cut Michael Jordan #M4,$113,PSA 10,
"Michael Jordan, 1995-96 Upper Deck Slams & Jams #352 ",$225,PSA 10,
MICHAEL JORDAN UPPER DECK 1995-96 #339 MAJOR ATTRACTIONS,$70,CSG 9,
Michael Jordan Card 1993 Upper Deck East All-Star Weekend #425,$40,n/a,
1992-1993 92-93 UPPER DECK UD ALL DIVISION #AD9 MICHAEL,$129,FSG 10,
1996 Michael Jordan Topps # 277 Basketball Card,$15,n/a,
Michael Jordan Hoops 1996 NBA Hoops #20,$100,PSA 9,
1992 Michael Jordan UPPER DECK ALL-NBA #AN1,$99,PSA 6,
1996 Topps NBA Stars Michael Jordan #124,$300,PSA 10,
1996 Topps Stars #24 MICHAEL JORDAN,$350,BGS 9.5,
1992-93 UPPER DECK MICHAEL JORDAN CARD #67,$250,PSA 10,
1996 Topps NBA At 50 Michael Jordan #139 ,"$5,000",BGS 9.5,
1996 MICHAEL JORDAN HOF TOPPS #139,$999,BCCG 10,
1993 Upper Deck All-NBA Michael Jordan #AN4 Basketball Chicago Bulls ,$149,PSA 9,
1993-94 Upper Deck Mr June Michael Jordan #MJ1 ,$114,BGS 9,
1996 Fleer Basketball Michael Jordan #123,$435,PSA 10,
1996 Fleer Basketball Michael Jordan #323 ,$25,SGC 8.5,
1993 Skybox Premium Michael Jordan #14 ,$600,PSA 10,
1993-94 SkyBox Premium #45 Michael Jordan,$350,GMA 8.5,
1992-93 MICHAEL JORDAN and SCOTTIE PIPPEN Scoring Threats #62,"$1,800",PSA 10,
1994 Upper Deck Collector's Choice International German Michael Jordan #216,$120,n/a,
1995-96 Upper Deck Prize Predictor Scoring Leader Michael Jordan #H2 ,$120,BGS 9,
1995-96 Upper Deck Prize Predictor Scoring Leader Michael Jordan #H1,$120,BGS 9,
